id_emp,nom_emp,dir_emp,tel_emp,cel_emp,fax_emp,mail_emp,web_emp,conta_emp,tip_emp,ant_emp,ser_emp,cont_emp,com_emp
23,"KEEN ONE ORGANIC","2355 30th Street  Boulder, CO, 80301 USA","+1-303 402 1400",,,christopher@keenonefoods.com,www.keenonefoods.com,Christopher,"MAYORISTA Y DISTRIBUIDOR","9 AÑOS",IMPORTACION,"Calidad al mejor precio.","PRECIO DE MERCADO"
24,"ORGANIC PARTNERS INTERNATIONAL, LLC","2705 E Burnside St., #210, Portland, OR 97214",+1-503.445.1065,,,asemper@organic-parteners.com,http://organic-partners.com/,"Annette Semper","IMPORTADOR ","20 AÑOS",IMPORTACION,"Calidad al mejor precio.","PRECIO DEL MERCADO"
25,"LA FINESTRA SUL CIELO ","Passeig del Riu Besós 1,  08160 Montmeló, Barcelona","+0034 93 713 26 70",,"+0034 93 713 00 27",jordivila@lafinestrasulcielo.es,www.lafinestrasulcielo.es,"Jordi Vila","MAYORISTA Y DISTRIBUIDOR","38 AÑOS",IMPORTACION,"Calidad al mejor precio.","PRECIO DE MERCADO"
26,"MAJO TRADING SL","Calle: Josep Pla 163 2? 3?","+93 4588168 ",,"+93 4762597","jcespada@majotrading.net ",www.majotrading.net,"Juan Carlos Espada",TRADING,"15 AÑOS","Se especializa en el desarrollo de productos masivos, introducción del producto y desarrollo de mercado.  Desde el año 2003 contamos con oficinas en cinco ciudades de España (Barcelona, Murcia, Palma de Mallorca, Valencia y Madrid) realizando la importación y distribución de los diferentes tipos de cerveza Paceña, alimentos étnicos bolivianos y alimentos orgánicos.  Cuentan con un equipo de venta y mercadeo calificado y especializado en los productos masivos y distribución.  MATCHMAKING / CIERRE DE CONTRATOS","Cumplimiento de las condiciones de acceso al mercado español.","El precio depende del producto, cantidad, calidad y frecuencia de despacho."
27,"NATURKOST UBELHOR GMBH","Friesenhofen - Bahnhof - 23-25, 88299 Leutkrich Im Allgau","+49 7567 9881-7100",,"+49 7567 9881-7220",info@organic-germany.com,www.organic-germany.com,"Anna Veit","IMPORT - EXPORT","29 AÑOS","IMPORTACION ","Calidad, certificación y sustentabilidad.  Buscamos alimentos saludables con protección al ecosistema.  Buena relación de trabajo con nuestras contrapartes.","Precio justo (fair trade)"
28,"HAMAMA MEIR TRADING 1996 LTD","Migdal Tzhampion, Sheshet Hayamim 30, BNEI BRAK 5120261, Israel
","+972 35195555",,"+972 35107010",,,"Amir Fagel",TRADING,"20 AÑOS","IMPORTACIÓN, MARKETING Y DISTRIBUCIÓN",Calidad,"PRECIO DE MERCADO"
29,"CONAGRA FOODS","5055 Satellite Drive,  Mississauga, ON,  L4W 5K7",+1-416-679-4200,,,,www.conagrafoods.ca,"Christine Raptopolus","MAYORISTA Y DISTRIBUIDOR",,IMPORTACION,"Calidad al mejor precio.","PRECIO DE MERCADO"
30,"CHUO TRADING CO., LTD.","FORUM SHIMADA 2, 7F., 1-4-8, SHINKAWA, CHUO-KU, TOKYO 104-0033","+81 3 32067281",,"+81 3 32067292",CHUO-TRADING@MB.NEWEP.NE.JP,,Kobayashi,TRADING,,IMPORTACION,"Calidad al mejor precio.","PRECIO DEL MERCADO"
31,"SANKO TRADING CORPORATION ","2-37 Higashikoraibashi Chuoku Osaka 540-0039",+81-(0)6-6949-0899,,,info@sanko-trading.co.jp,www.sanko-trading.co.jp,"Hiroshi Kabata","TRADING ","31 AÑOS",IMPORTACION,"Calidad al mejor precio.","PRECIO DEL MERCADO"
32,"VOX TRADING CO., LTD."," Tokyu Reit Hatchobori Bldg 8F,2-7-1,Hatchobori,chuo-ku, Tokyo 104-0032, Japan

Headquarters
Tokyu Reit Hatchobori Bldg 8F,2-7-1,Hatchobori,chuo-ku, Tokyo 104-0032, Japan","+81-03-3555-5500 ",,+81-03-3555-5568,,www.voxtrading.jp,"Haruki Kawabe",TRADING,"14 AÑOS",TRADING,"Calidad al mejor precio.","PRECIO DEL MERCADO"
33,"YEBIN COMPANY","Gangnam-gu,  89-4, Cheongdam-dong ,  Seoul 135-100, South Korea ","+82 2 3444-1338
",,,,"http://www.elenah.co.kr ","Elena Hwang","IMPORTADOR Y DISTRIBUIDOR","15 AÑOS",IMPORTACION,"Alta calidad de los productos.  Enfatiza en el diseño.","PRECIO DEL MERCADO"
34,"ORGANIC LAND","Garado-El Fayoum-Egypt","+(+20) 84 6791035",,"+(+20) 84 6791035",contact@organiclandco.com,www.organiclandco.com,"Sayed Farouk Ramadan",IMPORTADOR,,IMPORTACION,"Calidad al mejor precio.  Iso 22000.","PRECIO DEL MERCADO"
35,"OPIKA ORGANIC SDN BHD","22 & 22A, Jalan PJU 3/49, Sunway Damansara,, 47810 Petaling Jaya, Selangor, Malasia","+60 3-7731 7522",,,"info@opikaorganic.com ",http://opikaorganic.com,,IMPORTADOR,,IMPORTACION,"Certificación orgánica.","PRECIO DEL MERCADO"
36,"COMERCIAL HISPANA, S. DE R.L. De C.V.","Av Homero 418 Piso 11, Miguel Hidalgo, Polanco V Secc, 11560 Ciudad de México, D.F., México","+52 55 5681 2390",,,,,"Rafael Olarra","IMPORTADOR Y DISTRIBUIDOR",,"IMPORTACION ","Calidad al mejor precio.","PRECIO DE MERCADO"
37,"CHANTAL ORGANIC & NATURAL WHOSALERS LTD","93 Austin Street, Napier 4110, New Zealand","+64 6 843 2114 ",,"+64 6 843 9151",karen@chantal.co.nz,http://chantalwholesalers.co.nz,"Karen Cornwall",MAYORISTA,"46 AÑOS",IMPORTACION,"Certificación orgánica.","PRECIO DEL MERCADO"
38,"GREEN EXPORT","Santo Domingo 123 Of. 407","+51 54 226357",,"+51 54 226357 ",info@green-export.com,"www.green-export.com ",,"IMPORT - EXPORT",,IMPORTACION,"Calidad al mejor precio.","PRECIO DE MERCADO"
39,"LIFCO INTERNATIONAL TRADING CO. LLC ","P.O. Box 7047, Sharjah U.A.E.","+971 6 533 5635",,"+971 6 533 5639",lifco@emirates.net.ae,http://www.lifco.com,"Shadi J. Hassan",TRADING,"66 AÑOS",TRADING,"Calidad al mejor precio.","PRECIO DE MERCADO"
40,"ORIGINS HEALTHCARE PTE LTD","55 Ubi Ave 1, Singapore 408935","+65 6745 2402",,"+(65) 6745-2243 ",info@originshealth.com.sg,http://originsonline.com.sg,,"MAYORISTA Y DISTRIBUIDOR","26 AÑOS","DISTRIBUCIÓN. A través de los años, la red de distribución de Orígenes ha crecido y cubre los principales supermercados, tiendas de alimentos especializados en salud, farmacias, droguerías, hospitales, instituciones (escuelas, universidades, politécnicos, etc.) y empresas de catering de servicio de comidas. Comercio Electrónico. ","Certificación orgánica.","PRECIO DEL MERCADO"
41,"BIO ROYAL SARL","Rue des Pécheurs 8, 1400 Yverdon-les-Bains, Suiza","+41 24 425 59 11",,"+41 24 425 59 13","info@bio-royal.com ",http://www.bio-royal.com,,IMPORTADOR,,"IMPORTACION Y DISTRIBUCIÓN","Calidad al mejor precio.","PRECIO DE MERCADO"
42,"RISENTA AB","Sollentunaholmsvagen 13-15,  192 78 Sollentuna","+08-586 27 500",,"+08-586 27 512",info@risenta.se,http://www.risenta.se/,"Lisa Tajesson","IMPORTADOR Y DISTRIBUCION","8 AÑOS",IMPORTACION,"Calidad al mejor precio.","PRECIO DE MERCADO"
43,"GEO GIN TRADING COMPANY, LIMITED","Floor 4, No. 778, Ba De Road",+886-2-27886279,,+886-2-26548408,info@champion-bio.com,http://www.champion-bio.com,"Chen Xu",TRADING,"12 AÑOS",TRADING,"Alta calidad de los productos.  ","PRECIO DE MERCADO"
44,"DO-IT BV","Hermesweg 7,  3771 ND Barneveld,  The Netherlands","+31 85 487 0420 ",,,rik@organic.nl,http://www.organic.nl,"Rik Dijkema","IMPORT - EXPORT","25 AÑOS","Importación con precios justos, asistencia técnica y bienestar social para los proveedores.","Calidad.  Certificación orgánica. (Reglamento CEE 834/2007). Exigen un sistema transparente y trazable.","PRECIO JUSTO (Fair price)"
45,"DOENS FOOD","Westkade 20,  4551 BV Sas van Gent,  The Netherlands","+31 (0) 115 462300",,"+31 (0) 115 460883",purchase@doensfood.com,http://gb.doensfood.com,"Van Doens","IMPORT - EXPORT","125 AÑOS","Comercialización, asistencia en certificación.","Certificación orgánica. Trazabilidad.","PRECIO JUSTO (Fair trade)."
46,"FREEWORLD TRADING","21 Annandale Street Edinburgh EH7 4AW","+44 131 557 5600",,"+44 (0) 131 557 5665",info@freeworld-trading.co.uk,http://www.freeworld-trading.co.uk,"Ailsa Perez-Ulecia",TRADING,"25 AÑOS",TRADING,"Control de calidad (Certificación, código de práctica del comercio ético, no comparte la esclavitud moderna ni el tráfico de personas)","PRECIO JUSTO"
47,"WINDMILL ORGANICS LTD","34A Clifton Rd, Kingston upon Thames KT2 6PH, Reino Unido","+44 20 8547 2775",,,info@windmillorganics.com,http://www.windmillorganics.com,"Donata Berger",MAYORISTA,"38 AÑOS",IMPORTACION,"Certificación orgánica. Trazabilidad.  Buscan productores con ética y que respeten el medio ambiente.","PRECIO DE MERCADO"
48,"ECOPALMITOS S.L.","Calle Longitudinal 6. Nª.82. Mercabarna.  08040 Barcelona "," +34.936.681.521  ",,"+34.936.681.257 ",import@cartiegu.com,http://www.cartiegu.com,"Carlos López","IMPORTADOR Y DISTRIBUIDOR","26 AÑOS",IMPORTACION,"Calidad al mejor precio.","PRECIO DE MERCADO"
49,"GLOBAL TRADE LTD",,"+(55) 11 3255-7873",,,fhtrade@fhtrade.com.br,http://www.fhtrade.com.br,,TRADING,"20 AÑOS","Representación comercial. Logística operacional, distribución y marketing.","Se adecúan a las necesidadesy requerimientos de los clientes.","Fee Fijo convenido. Porcentaje 7% y 30% sobre ventas."
50,"ALBIZU, VIDAL Y URIA S.L.","Alameda Recalde, 43-1ª Iz.48008 - BILBAO"," +34 944 464 714",,"+34 944 101 940",avu@avu.es,http://www.avu.es/,"José Vidal","CONSULTORA EN COMERCIO","27 AÑOS","Dar valor a las empresas pyme en sus esfuerzos de mejora de competitividad y acceso a nuevos mercados.","Varían segun el producto y el mercado.","Depende de la magnitud del servicio o programa."
51,"RED DE BUSQIEDAS DE INFORMACION INTERNACIONAL - REDBUS S.L.","Calle Platería, 3 - 5ª 30004 Murcia ","+ 34 968 225029",,"+34 968 225375","redbus@redbus.es ",http://www.redbus.es/,"Rodrigo Saldaña","CONSULTORA EN COMERCIO","15 AÑOS","Estudios y prospecciones de mercado exteriores.  Gesti{ón de agendas de contactos comerciales en los mercados exteriores. Búsqueda, validación y preparación de agendas de Negocios.  Gestión de agendas de contactos comerciales en los mercados exteriores.","Se adecuan a las necesidades de los clientes y ofrecen servicios a medida.","Depende del servicio que se requiera."
52,"FERNANDO FREUDENTHAL","Calle 14 de Calacoto Prolongación  Prudencio Edificio Maria Alejandra Departamento 2D",59122775449,60696209,,fernandofreudenthal@gmail.com,,"Fernando Freudenthal",BROKER,"10 AÑOS","ASESORIA / ACUERDOS COMERCIALES / MATCHING CON CONSORCIOS COMERCIALES.","Varían segun el producto y el mercado.","La comision depende del volumen y del trabajo que se necesite realizar.  Puede darse un fee de entrada y porcentaje de comisiÃ³n."
53,"AMERICAN BROKER","Edificio Ursic Motors Av. Montes No. 716 Piso 6 Of. 1",59122317229,59170666636,59122317229,american.broker.bo@gmail.com,www.american-broker.com,"Jhonny Aranda",BROKER,"12 AÑOS","Asesoria, matching, cierre de contratos, joint venture. Realizan trabajos de outsourcing, terciarizan servicios de comercialización y distribución.","Se adecuan a las necesidades del cliente","Depende del servicio que requiera la empresa. Si el volumen es pequeño la comisión es mayor.  "
